Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q21608563,http://www.wikidata.org/entity/Q99360530,Undirected,32613,,,2
http://www.wikidata.org/entity/Q21608648,http://www.wikidata.org/entity/Q5615062,Undirected,32614,,,2
http://www.wikidata.org/entity/Q21608648,http://www.wikidata.org/entity/Q94522,Undirected,32615,,,8
http://www.wikidata.org/entity/Q21608890,http://www.wikidata.org/entity/Q6016606,Undirected,32616,,,50
http://www.wikidata.org/entity/Q21608890,http://www.wikidata.org/entity/Q6164489,Undirected,32617,,,2
http://www.wikidata.org/entity/Q21609010,http://www.wikidata.org/entity/Q5450599,Undirected,32618,,,78
http://www.wikidata.org/entity/Q21609010,http://www.wikidata.org/entity/Q6049611,Undirected,32619,,,38
http://www.wikidata.org/entity/Q21609136,http://www.wikidata.org/entity/Q5233171,Undirected,32620,,,2
http://www.wikidata.org/entity/Q21609136,http://www.wikidata.org/entity/Q98609846,Undirected,32621,,,40
http://www.wikidata.org/entity/Q21609176,http://www.wikidata.org/entity/Q730640,Undirected,32622,,,4
http://www.wikidata.org/entity/Q21609190,http://www.wikidata.org/entity/Q3659576,Undirected,32623,,,2
http://www.wikidata.org/entity/Q21609240,http://www.wikidata.org/entity/Q2355578,Undirected,32624,,,12
http://www.wikidata.org/entity/Q21609440,http://www.wikidata.org/entity/Q55045099,Undirected,32625,,,2
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q2984580,Undirected,32626,,,16
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q3090721,Undirected,32627,,,12
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q4530123,Undirected,32628,,,56
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q5367580,Undirected,32629,,,4
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q6124434,Undirected,32630,,,56
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q6135471,Undirected,32631,,,26
http://www.wikidata.org/entity/Q21609611,http://www.wikidata.org/entity/Q7349414,Undirected,32632,,,70
http://www.wikidata.org/entity/Q21609765,http://www.wikidata.org/entity/Q5972025,Undirected,32633,,,6
http://www.wikidata.org/entity/Q21609825,http://www.wikidata.org/entity/Q5894907,Undirected,32634,,,26
http://www.wikidata.org/entity/Q21609879,http://www.wikidata.org/entity/Q680696,Undirected,32635,,,2
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q2330447,Undirected,32636,,,10
http://www.wikidata.org/entity/Q21609912,http://www.wikidata.org/entity/Q2843692,Undirected,32637,,,8
