"","person_id_1","person_id_2","records"
"1347","http://www.wikidata.org/entity/Q17418645","https://orcid.org/0000-0003-0761-9116",1074
"1348","http://www.wikidata.org/entity/Q17447006","http://www.wikidata.org/entity/Q6546991",8
"1349","http://www.wikidata.org/entity/Q17579846","http://www.wikidata.org/entity/Q21387738",2
"1350","http://www.wikidata.org/entity/Q17579846","http://www.wikidata.org/entity/Q21387753",346
"1351","http://www.wikidata.org/entity/Q17579846","http://www.wikidata.org/entity/Q4105706",8
"1352","http://www.wikidata.org/entity/Q17579846","http://www.wikidata.org/entity/Q5869070",4
"1353","http://www.wikidata.org/entity/Q17579846","http://www.wikidata.org/entity/Q7360815",14
"1354","http://www.wikidata.org/entity/Q1766860","http://www.wikidata.org/entity/Q68637",1842
"1355","http://www.wikidata.org/entity/Q1773640","http://www.wikidata.org/entity/Q2037491",12
"1356","http://www.wikidata.org/entity/Q1773640","http://www.wikidata.org/entity/Q332617",4
"1357","http://www.wikidata.org/entity/Q1773640","http://www.wikidata.org/entity/Q4428698",2
"1358","http://www.wikidata.org/entity/Q1773640","http://www.wikidata.org/entity/Q610981",2
"1359","http://www.wikidata.org/entity/Q1782494","http://www.wikidata.org/entity/Q610981",2
"1360","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q2037491",30
"1361","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q21521593",86
"1362","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q3356303",2
"1363","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q5666633",24
"1364","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q719778",2
"1365","http://www.wikidata.org/entity/Q1786150","http://www.wikidata.org/entity/Q96023274",10
"1366","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q21607975",2
"1367","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q2848283",12
"1368","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q528922",18
"1369","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q5651502",2
"1370","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q72701",2
"1371","http://www.wikidata.org/entity/Q1791098","http://www.wikidata.org/entity/Q8963904",16
"1372","http://www.wikidata.org/entity/Q1794758","https://orcid.org/0000-0002-7686-8610",38
"1373","http://www.wikidata.org/entity/Q18154321","http://www.wikidata.org/entity/Q6167550",16
"1374","http://www.wikidata.org/entity/Q18166629","http://www.wikidata.org/entity/Q3090721",2
"1375","http://www.wikidata.org/entity/Q18166629","http://www.wikidata.org/entity/Q6012831",204
"1376","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q21338865",6
"1377","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q21507043",130
"1378","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q2698829",1204
"1379","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q3093467",10
"1380","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q3423003",12
"1381","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q4105706",6
"1382","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q5040801",2
"1383","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q5585136",128
"1384","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q7372334",1732
"1385","http://www.wikidata.org/entity/Q1817129","http://www.wikidata.org/entity/Q97572714",2846
"1386","http://www.wikidata.org/entity/Q18205408","http://www.wikidata.org/entity/Q21509803",2
"1387","http://www.wikidata.org/entity/Q18205408","http://www.wikidata.org/entity/Q2656885",30
"1388","http://www.wikidata.org/entity/Q18205408","http://www.wikidata.org/entity/Q2840308",20
"1389","http://www.wikidata.org/entity/Q18205408","http://www.wikidata.org/entity/Q5958294",2
"1390","http://www.wikidata.org/entity/Q18205408","http://www.wikidata.org/entity/Q87901404",46
"1391","http://www.wikidata.org/entity/Q1820765","http://www.wikidata.org/entity/Q21339496",116
"1392","http://www.wikidata.org/entity/Q1820765","http://www.wikidata.org/entity/Q21340663",4
"1393","http://www.wikidata.org/entity/Q18218050","http://www.wikidata.org/entity/Q2958972",112
"1394","http://www.wikidata.org/entity/Q18224792","http://www.wikidata.org/entity/Q18548524",4
"1395","http://www.wikidata.org/entity/Q18237151","http://www.wikidata.org/entity/Q4439520",2
"1396","http://www.wikidata.org/entity/Q18243099","http://www.wikidata.org/entity/Q2617258",2
"1397","http://www.wikidata.org/entity/Q18243099","http://www.wikidata.org/entity/Q346126",6366
"1398","http://www.wikidata.org/entity/Q18243099","http://www.wikidata.org/entity/Q5817751",4
"1399","http://www.wikidata.org/entity/Q18243099","http://www.wikidata.org/entity/Q674391",94
"1400","http://www.wikidata.org/entity/Q18244795","http://www.wikidata.org/entity/Q5965480",2
"1401","http://www.wikidata.org/entity/Q18246582","http://www.wikidata.org/entity/Q21610895",2
"1402","http://www.wikidata.org/entity/Q18246582","http://www.wikidata.org/entity/Q5547566",4
"1403","http://www.wikidata.org/entity/Q18246582","http://www.wikidata.org/entity/Q5932875",2
"1404","http://www.wikidata.org/entity/Q18246582","http://www.wikidata.org/entity/Q6211596",6
"1405","http://www.wikidata.org/entity/Q18286714","http://www.wikidata.org/entity/Q4360385",2
"1406","http://www.wikidata.org/entity/Q18286714","http://www.wikidata.org/entity/Q73160",40
"1407","http://www.wikidata.org/entity/Q18325771","http://www.wikidata.org/entity/Q21517418",4
"1408","http://www.wikidata.org/entity/Q18325771","http://www.wikidata.org/entity/Q3568593",2
"1409","http://www.wikidata.org/entity/Q18349258","http://www.wikidata.org/entity/Q2504754",2
"1410","http://www.wikidata.org/entity/Q18349258","http://www.wikidata.org/entity/Q5487180",2
"1411","http://www.wikidata.org/entity/Q18349258","http://www.wikidata.org/entity/Q5696688",36
"1412","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q21609912",20
"1413","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q21715144",2
"1414","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q4107205",76
"1415","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q4579325",4
"1416","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q5450599",20
"1417","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q5450690",2
"1418","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q5615062",848
"1419","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q7360773",4
"1420","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q7360815",2088
"1421","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q937626",8
"1422","http://www.wikidata.org/entity/Q1843500","http://www.wikidata.org/entity/Q94522",16
"1423","http://www.wikidata.org/entity/Q1848893","http://www.wikidata.org/entity/Q79107",2
"1424","http://www.wikidata.org/entity/Q18538406","http://www.wikidata.org/entity/Q18545180",18
"1425","http://www.wikidata.org/entity/Q18538406","http://www.wikidata.org/entity/Q21607005",2
"1426","http://www.wikidata.org/entity/Q18545180","http://www.wikidata.org/entity/Q21522900",2
"1427","http://www.wikidata.org/entity/Q18545180","http://www.wikidata.org/entity/Q21607005",4
"1428","http://www.wikidata.org/entity/Q18545180","http://www.wikidata.org/entity/Q6067147",2
"1429","http://www.wikidata.org/entity/Q18545180","http://www.wikidata.org/entity/Q622276",4
"1430","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q18548822",6
"1431","http://www.wikidata.org/entity/Q18545546","http://www.wikidata.org/entity/Q21506629",2
