,gen1,gen2,bd1,bd2,agediff,genderdiff,id1,id2
4607,male,male,1879-02-08T00:00:00Z,1899-09-24T00:00:00Z,20.638356164383563,m-m,http://www.wikidata.org/entity/Q1532266,http://www.wikidata.org/entity/Q5800069
4608,male,male,1879-02-08T00:00:00Z,1876-11-05T00:00:00Z,2.26027397260274,m-m,http://www.wikidata.org/entity/Q1532266,http://www.wikidata.org/entity/Q14924804
4609,female,male,1973-01-01T00:00:00Z,1957-08-26T00:00:00Z,15.361643835616439,mixed,https://orcid.org/0000-0002-7895-6710,https://orcid.org/0000-0002-9249-7389
4610,female,male,1923-08-03T00:00:00Z,1925-01-01T00:00:00Z,1.4164383561643836,mixed,http://www.wikidata.org/entity/Q55411265,http://www.wikidata.org/entity/Q21607234
4611,male,male,1860-02-23T00:00:00Z,1877-03-28T00:00:00Z,17.104109589041094,m-m,http://www.wikidata.org/entity/Q635604,http://www.wikidata.org/entity/Q2329574
4612,male,male,1889-07-09T00:00:00Z,1879-03-24T00:00:00Z,10.301369863013699,m-m,http://www.wikidata.org/entity/Q1680964,http://www.wikidata.org/entity/Q1161722
4613,male,male,1925-03-15T00:00:00Z,1934-07-03T00:00:00Z,9.306849315068494,m-m,http://www.wikidata.org/entity/Q11738038,http://www.wikidata.org/entity/Q23139681
4614,male,female,1974-06-20T00:00:00Z,1926-11-01T00:00:00Z,47.66575342465753,mixed,https://orcid.org/0000-0002-5201-2682,http://www.wikidata.org/entity/Q21505588
4615,male,male,1974-06-20T00:00:00Z,1930-02-05T00:00:00Z,44.4,m-m,https://orcid.org/0000-0002-5201-2682,http://www.wikidata.org/entity/Q328397
4616,male,male,1974-06-20T00:00:00Z,1972-01-01T00:00:00Z,2.4684931506849317,m-m,https://orcid.org/0000-0002-5201-2682,https://orcid.org/0000-0003-1707-7461
4617,male,female,1929-01-18T00:00:00Z,1930-09-29T00:00:00Z,1.6958904109589041,mixed,http://www.wikidata.org/entity/Q16404133,http://www.wikidata.org/entity/Q4697131
4618,male,male,1923-06-07T00:00:00Z,1913-04-04T00:00:00Z,10.180821917808219,m-m,http://www.wikidata.org/entity/Q104061883,http://www.wikidata.org/entity/Q11866743
4619,male,male,1912-02-29T00:00:00Z,1907-04-09T00:00:00Z,4.895890410958904,m-m,http://www.wikidata.org/entity/Q21009754,http://www.wikidata.org/entity/Q1413874
4620,male,male,1916-01-01T00:00:00Z,1928-03-28T00:00:00Z,12.246575342465754,m-m,http://www.wikidata.org/entity/Q101552462,http://www.wikidata.org/entity/Q104431227
4621,male,male,1879-03-24T00:00:00Z,1889-07-09T00:00:00Z,10.301369863013699,m-m,http://www.wikidata.org/entity/Q1161722,http://www.wikidata.org/entity/Q1680964
4622,male,male,1879-03-24T00:00:00Z,1901-04-05T00:00:00Z,22.046575342465754,m-m,http://www.wikidata.org/entity/Q1161722,http://www.wikidata.org/entity/Q16658246
4623,male,male,1879-03-24T00:00:00Z,1877-05-11T00:00:00Z,1.8684931506849316,m-m,http://www.wikidata.org/entity/Q1161722,http://www.wikidata.org/entity/Q4800357
4624,male,male,1907-04-09T00:00:00Z,1912-02-29T00:00:00Z,4.895890410958904,m-m,http://www.wikidata.org/entity/Q1413874,http://www.wikidata.org/entity/Q21009754
